X8	sites
MB0001	60, 72, 102, 188, 246, 333, 360, 448, 471, 494, 504, 514, 525, 601, 653, 670, 706, 741, 784, 794, 843, 989, 1092, 1104, 1267, 1278, 1345, 1423, 1522
MB0002	2063, 2104, 2141, 2232, 2290, 2315, 2318, 2333, 2344, 2363, 2427, 2479, 2537, 2648, 2738, 2774, 2845, 2920, 3027, 3056, 3066, 3070, 3119, 3131, 3145, 3222, 3228
MB0003	3283, 3329, 3372, 3379, 3384, 3396, 3412, 3425, 3467, 3471, 3513, 3591, 3682, 3708, 3728, 3739, 3770, 3782, 3833, 3925, 3960, 3986, 4011, 4028, 4094, 4118, 4121, 4130, 4158, 4207, 4217, 4353
MB0004	4480, 4664, 4721, 4789, 4912, 4961, 4970, 4989, 4995
MB0005	5128, 5170, 5230, 5273, 5287, 5336, 5364, 5420, 5439, 5517, 5547, 5579, 5586, 5669, 5687, 5751, 5792, 5977, 5996, 6055, 6128, 6230, 6249, 6403, 6490, 6502, 6526, 6605, 6612, 6672, 6729, 6809, 6856, 6944, 6983, 7067, 7077, 7093, 7225, 7265
MB0006	7383, 7392, 7470, 7551, 7578, 7686, 7763, 7767, 7798, 7865, 7970, 8031, 8077, 8099, 8127, 8219, 8236, 8285, 8288, 8295, 8338, 8391, 8394, 8436, 8486, 8786, 8858, 8874, 8901, 9030, 9045, 9100, 9150, 9165, 9419, 9465, 9492, 9503, 9519, 9526, 9542, 9564, 9624, 9776, 9816
MB0007	10023, 10104, 10277, 10299, 10414, 10426, 10583, 10600, 10608, 10769, 10826
ILET	10892, 10894, 10907, 10923, 10953
ALAT	11119, 11131, 11176
MB0008c	12042, 12054, 12250
MB0009	12491, 12530, 12621, 12663, 12750, 12798
MB0010c	13274, 13308, 13321, 13324, 13368, 13468, 13485
MB0011c	13771, 13851, 13902
MB0012	14095, 14176, 14420, 14620, 14660, 14664, 14666, 14676, 14748, 14757, 14812, 14820, 14871
MB0013	14937, 14967, 15113, 15220, 15244, 15268, 15303, 15326, 15365, 15463, 15514, 15590
MB0014c	15656, 15772, 15811, 15926, 16160, 16183, 16432, 16519, 16534, 16557, 16682, 16793, 16850, 16871, 16925, 17014, 17189, 17204, 17246, 17312, 17332, 17438
MB0015c	17475, 17482, 17585, 17861, 18009, 18122, 18139, 18160, 18214, 18453, 18487, 18526, 18692, 18724
MB0016c	18906, 19037, 19042, 19080, 19099, 19106, 19133, 19137, 19150, 19178, 19225, 19238, 19258, 19452, 19460, 19581, 19666, 19692, 19759, 19770, 19828, 19837, 19913, 19934, 19950, 19962, 19983, 20001, 20043, 20091, 20177, 20210, 20233
MB0017c	20265, 20277, 20344, 20348, 20375, 20496, 20546, 20649, 20670, 20679, 20711, 20755, 20786, 20858, 20882, 21040, 21203, 21209, 21265, 21358, 21413, 21476, 21480, 21547, 21607
MB0018c	21776, 22069, 22091, 22117, 22143, 22186, 22194, 22198, 22201, 22278, 22313, 22337, 22453, 22459, 22577, 22624, 22816, 22835, 22886, 23082, 23098, 23124, 23152
MB0019c	23329, 23360, 23380, 23393, 23412, 23441, 23511, 23549, 23581, 23639, 23662, 23680, 23713, 23722
MB0020c	23932, 23946, 24101, 24135, 24158, 24173, 24182, 24206, 24230, 24236, 24260, 24281, 24308, 24317, 24335, 24350, 24371, 24383, 24401, 24446, 24482, 24491, 24500, 24563, 24578, 24620, 24749, 24890, 24902, 24905, 24941, 24967, 25050, 25080, 25124, 25149, 25151, 25233, 25241
MB0021c	25895, 25941, 25948, 26021, 26048, 26122, 26164, 26174, 26178, 26261, 26271, 26281, 26358, 26398, 26603, 26723, 26761, 26812, 26819, 26841, 26854
MB0022c	27194, 27226, 27233, 27280, 27335, 27348, 27391
MB0023	27664, 27684, 27765, 27906, 27975, 27984, 27986, 28126, 28213
MB0024	28349, 28436, 28493, 28642, 28651, 28660, 28686, 28895, 28954, 28990
MB0025	29185
MB0026	29250, 29334, 29383, 29437, 29496, 29547, 29567, 29585
MB0027	29756, 29872, 29900, 29903, 30099, 30251, 30429, 30459, 30659, 30948, 30988, 31050, 31059, 31133
MB0028	31207, 31245, 31307, 31365, 31394
MB0029	31573, 31581, 31668, 31685, 31794
MB0030	32118, 32147, 32181, 32237, 32387, 32418, 32477, 32502, 32657, 32739, 32761, 32870, 32894, 33007, 33029, 33042, 33097, 33136
MB0031	33339, 33343, 33433, 33474, 33517
